row,id,product,section,serial,slug,canonical_path,title,primary_keyword,body_chars,body_sha256,old_baseline_verdict,new_verdict,preliminary_verdict,issue_codes,user_role,search_situation,real_question,quick_answer,natural_tone,actionable_next_step,batch,gemini_reason,gemini_evidence
11,CHART-BASE-02,fortune,bazi,fortune-0002,fortune-0002,/articles/fortune/fortune-0002,八字是什麼？出生年月日時怎麼看人生節奏,八字是什麼,407,93735e08fc8cce7f5ae5286ed2cde69b9497dac9dd5446297b2733df4783808d,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「八字是什麼」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_003,文章缺乏具體八字概念的解析，過度依賴抽象的建議與免責聲明，缺乏讀者可帶走的實際知識與情境密度。,"[{""code"":""空泛段落"",""evidence"":""查八字的人可能在問工作轉換，也可能只是想知道出生資料在系統裡怎麼使用。先把概念和個人判讀分開，閱讀會比較不容易被一句話帶走。""},{""code"":""模板句"",""evidence"":""讀完後可以先問一個具體問題，例如「我目前缺的是方向還是資源」，再決定要補哪個系統概念。把命理當成整理語言，選擇仍由你和現實共同完成。""}]"
12,THEME-CAREER-02,fortune,career,career-0002,career-0002,/articles/career/career-0002,工作很努力卻沒被看見，問題可能在哪？,工作很努力卻沒被看見,473,9fe319b785aeb4963e86ce83bfe13f88dc85aa3904749e1b00dcd47ae4f706ae,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「工作很努力卻沒被看見」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_003,文章為了套入命理框架，生硬地在職涯議題中插入命盤段落，且充滿了公式化的免責聲明與過於通用的建議，讀起來像模板套詞。,"[{""code"":""重複骨架"",""evidence"":""命盤可以作為長期節奏的參考，例如你比較適合穩定累積、跨部門協作，還是靠專業輸出建立信任。它能補的是觀察語言，不能承諾升職、加薪，或指定哪一天被看見。""},{""code"":""過度抽象"",""evidence"":""做法可以很具體：每週寫下三個成果、一次影響、下一步需求，並用事實回報。""}]"
13,THEME-LIFE-02,fortune,life,life-direction-0002,life-direction-0002,/articles/life-direction/life-direction-0002,該動還是該等？時機問題先看三個條件,該動還是該等,446,6814a9aec8b56b7795d1af99e442c6d00fb7e58e65ad267621fead3ab5f26a4d,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「該動還是該等」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_003,文章大量使用與其他篇章高度雷同的模板句式，結語口吻生硬、機器人感重，沒有針對「時機」給予實質命理或塔羅的獨特觀點。,"[{""code"":""模板句"",""evidence"":""但工具不能替你宣布命運，也不能直接指定重大選擇。它能幫你看卡點，不能替你承擔離職、搬家、創業、分手或投資後的現實後果。""},{""code"":""真人口吻不佳"",""evidence"":""公開文章不能替你決定人生，只能幫你判斷下一步該補哪個條件。""}]"
14,THEME-WEALTH-02,fortune,wealth,wealth-0002,wealth-0002,/articles/wealth/wealth-0002,金錢焦慮從哪裡來？先分清收入、支出與安全感,金錢焦慮,476,f25b631990e2d75410c3c18904e70739fb12da263dc57c8ef2e4e9b876d7896a,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「金錢焦慮」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,先分清收入、支出、風險感與安全感，不把文章當成投資建議。,reviewer_batch_003,文章結構與系列其他文章完全一致，只是將主題替換為金錢焦慮，且結語再次出現過度防禦性、非真人語氣的生硬聲明。,"[{""code"":""重複骨架"",""evidence"":""命盤和人格可以補哪一層？命盤可以作為資源節奏和安全感模式的參考。""},{""code"":""真人口吻不佳"",""evidence"":""公開文章不能替你做投資或財務決策。""}]"
15,MBTI-BASE-02,personality,mbti,personality-0002,personality-0002,/articles/personality/personality-0002,16 型人格完整整理：特質、感情、工作與人際怎麼看,16 型人格,433,0135eebd5080970648ebdaf80580ef0470316fb9a2c0506efcb0096b70cde959,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用 MBTI 或人格分類理解自己與互動模式的一般讀者,搜尋「16 型人格」時，多半想快速對照自己或某段關係，而不是讀理論課。,這個人格概念能幫我看見哪種偏好，哪些地方不能當成固定標籤？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_003,內容流於 MBTI 的泛泛之談與說教警告，缺乏針對 16 型人格特質的具體描繪與真實生活情境的深度對照，讀完仍無法獲得清晰的下一步。,"[{""code"":""空泛段落"",""evidence"":""沒有所謂天生比較好的型，也不能用一個類型合理化冷漠、失約、控制或逃避溝通。偏好能解釋反應傾向，責任仍要回到實際行為。""},{""code"":""過度抽象"",""evidence"":""如果你要和別人討論類型，帶一個具體事件進去：當時怎麼說、哪裡卡住、下次要改哪一句。""}]"
16,THEME-INTERPERSONAL-02,personality,interpersonal,interpersonal-0002,interpersonal-0002,/articles/interpersonal/interpersonal-0002,朋友關係變淡，是自然變化還是需要處理？,朋友關係變淡,482,f0831d50620c5aebb4d08e45e1e7332a39ca0ea19ee9b85f2bf3b3b07130ed34,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用 MBTI 或人格分類理解自己與互動模式的一般讀者,搜尋「朋友關係變淡」時，多半想快速對照自己或某段關係，而不是讀理論課。,這個人格概念能幫我看見哪種偏好，哪些地方不能當成固定標籤？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_004,文章強行置入塔羅與命盤等不相關模版段落，且結尾出現明顯的 AI 免責聲明模版句，缺乏針對朋友關係變淡主題的實質深度與情感共鳴。,"[{""code"":""TEMPLATE_INSERTION"",""evidence"":""第二段『塔羅可以整理當下情緒...命盤或人格可以補長期模式』在人際關係變淡的主題中顯得極為生硬且突兀，為強行套用的多工具模版，偏離了讀者搜尋人際問題時的真實需求。""},{""code"":""BOILERPLATE_DISCLAIMER"",""evidence"":""結尾『公開文章不能替你決定要不要切斷關係；它只能幫你分清自然變化...』是標準的 AI 空泛免責聲明，破壞了真人口吻與同理心。""}]"
17,TAROT-BASE-02,tarot,tarot,tarot-0002,tarot-0002,/articles/tarot/tarot-0002,塔羅牌正位逆位是什麼？好壞、阻塞與提醒怎麼看,塔羅牌正位逆位,405,9511756e76d246b3576c589464cbff340cbe3cd67feb6f650a073e02ebdb8773,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,正在用塔羅整理感情、工作或選擇卡點的一般讀者,搜尋「塔羅牌正位逆位」時，通常想先知道這張牌或問法能不能回答眼前問題。,這個塔羅線索現在能提醒我什麼，哪些結論不能只靠單篇文章決定？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_004,整體行文結構過於公式化，UserFit 的下一步行動與多篇文章共用完全相同的罐頭句型，且內容缺乏具體塔羅案例的血肉，流於空泛說教。,"[{""code"":""REPETITIVE_SKELETON"",""evidence"":""第三段標題『正位逆位不能單獨決定結果』以及內文『不能...只能...』的防禦性句型，與其他命理文章骨架完全重複，帶有濃厚的機器生成模版感。""},{""code"":""OVER_ABSTRACTION"",""evidence"":""內文『在工作問題裡，正逆位也可能分別對應資源正在流動，或期限、權責、回饋其中一層卡住』過於抽象，缺乏具體的牌面舉例（如權杖或寶劍），導致讀者難以將概念落地實作。""}]"
18,THEME-LOVE-02,tarot,love,love-0002,love-0002,/articles/love/love-0002,曖昧很久沒有進展，該繼續還是停下？,曖昧很久,491,718dee3d1b3ced031a7428a4d476f4850ff56f9e58397fda52877d1396ca6a90,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,正在用塔羅整理感情、工作或選擇卡點的一般讀者,搜尋「曖昧很久」時，通常想先知道這張牌或問法能不能回答眼前問題。,這個塔羅線索現在能提醒我什麼，哪些結論不能只靠單篇文章決定？,YES,PENDING_GEMINI_REVIEW,先分清是在等回覆、怕失去、想復合，還是不確定要不要繼續。,reviewer_batch_004,文章在單純的感情曖昧主題中生硬插入塔羅與人格工具的說明，且結尾再度使用重複的公開文章免責聲明，嚴重干擾閱讀流暢度與真誠感。,"[{""code"":""FORCED_TEMPLATE"",""evidence"":""第二段『感情塔羅和人格可以補哪一層？』完全是為了套用整合工具模版而生硬插入的內容。讀者搜尋『曖昧很久沒有進展』是為了尋找感情解方，而非來上塔羅與人格的工具比較課。""},{""code"":""BOILERPLATE_DISCLAIMER"",""evidence"":""最後一段『公開文章不能替你判斷對方真心，也不能叫你繼續或放下。它只能提醒你...』是典型的 AI 罐頭免責廢話，不僅浪費版面，也無法給予讀者有溫度的指引。""}]"
19,ASTRO-BASE-03,astro,astro,astrology-0003,astrology-0003,/articles/astrology/astrology-0003,月亮星座是什麼？情緒與安全感怎麼看,月亮星座是什麼,421,883e9709871eeb073d6cf094c8c37471e71181407e5a76df944ef3ba7bc6dfdb,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,正在用 Pantheon 公開文章整理生活問題的一般讀者,搜尋「月亮星座是什麼」時，想快速找到和自己狀況相關的整理方式。,我現在卡住的是哪一層，讀完後下一步可以先確認什麼？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_004,文章充滿了說教式與免責式的模版句型，將月亮星座的概念處理得過度抽象，且多處與其他文章共用一模一樣的骨架句型，缺乏實質的星相學觀察細節。,"[{""code"":""REPETITIVE_SKELETON"",""evidence"":""段落『它能補充感情理解，但不能替代完整星盤或實際相處』以及『月亮星座不能直接判定你愛誰...它提供的是需求語言，不是讀心工具』，高度套用『能...但不能...不是...』的 AI 結構骨架。""},{""code"":""TEMPLATE_NEXT_STEP"",""evidence"":""設定的 Actionable Next Step『把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。』與其他不同領域文章完全一模一樣，未能針對月亮星座提供具體的下一步。""}]"
20,CHART-ZIWEI-01,fortune,ziwei,fortune-0003,fortune-0003,/articles/fortune/fortune-0003,紫微斗數是什麼？命盤十二宮和主星怎麼看,紫微斗數是什麼,423,a686a3a45a31805ee1e5b0bae3d6d4583d66739f885286de7a12115b193e8d47,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「紫微斗數是什麼」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_004,文章過度強調免責與定義限制，導致讀者無法獲得對紫微斗數直觀的理解。內文充斥『不能代表...不能取代...公開文章只能...』等空泛宣告，掩蓋了主題核心。,"[{""code"":""BOILERPLATE_DISCLAIMER"",""evidence"":""段落『紫微斗數不能用一個宮位替你判定...公開文章只能講通用知識，不做個人命盤結論』完全是過度防禦的 AI 罐頭語音，對渴望了解紫微斗數的讀者毫無實質幫助。""},{""code"":""OVER_ABSTRACTION"",""evidence"":""內文『把所有符號揉成一句吉凶判斷，反而會失去它原本的分工』說理過於抽象，沒有具體說明到底該怎麼看任何一顆主星或十二宮的實際應用，無法解決讀者『命盤怎麼看』的真實問題。""}]"
21,THEME-CAREER-03,fortune,career,career-0003,career-0003,/articles/career/career-0003,現在適合轉職嗎？先分清逃離、成長與方向,現在適合轉職嗎,441,e8065a0f60e9ced94c2dc8b18b421efa3fe6eccccef98c278552a3976fe3f0a0,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「現在適合轉職嗎」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_005,文章過短，段落缺乏具體的職場情境細節，且生硬引入塔羅與命盤工具，無法有效解答讀者意圖，需全面重寫以擴充細節與場景。,"[{""code"":""SHORT_BODY"",""evidence"":""全文僅三個小節，字數過少，無法提供實用的轉職評估框架與足夠的情境密度。""},{""code"":""ABRUPT_TRANSITION"",""evidence"":""標題與首段針對一般轉職情境，第二段卻在缺乏過渡的情況下突兀切入「塔羅和命盤可以看什麼」，邏輯跳躍。""}]"
